url,publisher,repo,slug,name,description,category,tags,install_count,github_stars,install_command,date_added,security_audited,external_links
https://skills.sh/jimliu/baoyu-skills/baoyu-slide-deck,jimliu,baoyu-skills,baoyu-slide-deck,"baoyu-slide-deck","Discover and install skills for AI agents.",Mobile,"baoyu, slide, deck",,,"$ npx skills add https://github.com/jimliu/baoyu-skills --skill baoyu-slide-deck",,true,"https://vercel.com, https://github.com/jimliu/baoyu-skills"
https://skills.sh/googleworkspace/cli/gws-docs-write,googleworkspace,cli,gws-docs-write,"gws-docs-write","Discover and install skills for AI agents.",Frontend/Design,"gws, docs, write",,,"$ npx skills add https://github.com/googleworkspace/cli --skill gws-docs-write",,true,"https://vercel.com, https://github.com/googleworkspace/cli/blob/HEAD/skills/gws-docs-write/../gws-shared/SKILL.md, https://github.com/googleworkspace/cli/blob/HEAD/skills/gws-docs-write/../gws-docs/SKILL.md, https://github.com/googleworkspace/cli"
https://skills.sh/googleworkspace/cli/gws-sheets-read,googleworkspace,cli,gws-sheets-read,"gws-sheets-read","Discover and install skills for AI agents.",Frontend/Design,"gws, sheets, read",,,"$ npx skills add https://github.com/googleworkspace/cli --skill gws-sheets-read",,true,"https://vercel.com, https://github.com/googleworkspace/cli/blob/HEAD/skills/gws-sheets-read/../gws-shared/SKILL.md, https://github.com/googleworkspace/cli/blob/HEAD/skills/gws-sheets-read/../gws-sheets/SKILL.md, https://github.com/googleworkspace/cli"
https://skills.sh/jimliu/baoyu-skills/baoyu-infographic,jimliu,baoyu-skills,baoyu-infographic,"baoyu-infographic","Discover and install skills for AI agents.",Database/Backend,"baoyu, infographic",,,"$ npx skills add https://github.com/jimliu/baoyu-skills --skill baoyu-infographic",,true,"https://vercel.com, https://github.com/jimliu/baoyu-skills"
https://skills.sh/googleworkspace/cli/gws-drive-upload,googleworkspace,cli,gws-drive-upload,"gws-drive-upload","Discover and install skills for AI agents.",Frontend/Design,"gws, drive, upload",,,"$ npx skills add https://github.com/googleworkspace/cli --skill gws-drive-upload",,true,"https://vercel.com, https://github.com/googleworkspace/cli/blob/HEAD/skills/gws-drive-upload/../gws-shared/SKILL.md, https://github.com/googleworkspace/cli/blob/HEAD/skills/gws-drive-upload/../gws-drive/SKILL.md, https://github.com/googleworkspace/cli"
https://skills.sh/aaron-he-zhu/seo-geo-claude-skills/backlink-analyzer,aaron-he-zhu,seo-geo-claude-skills,backlink-analyzer,"backlink-analyzer","Discover and install skills for AI agents.",Mobile,"backlink, analyzer",,,"$ npx skills add https://github.com/aaron-he-zhu/seo-geo-claude-skills --skill backlink-analyzer",,true,"https://vercel.com, https://github.com/aaron-he-zhu/seo-geo-claude-skills, https://clawhub.ai/u/aaron-he-zhu, https://github.com/aaron-he-zhu/seo-geo-claude-skills/blob/main/references/skill-contract.md, https://github.com/aaron-he-zhu/seo-geo-claude-skills/blob/main/references/state-model.md"
https://skills.sh/googleworkspace/cli/gws-calendar-agenda,googleworkspace,cli,gws-calendar-agenda,"gws-calendar-agenda","Discover and install skills for AI agents.",Frontend/Design,"gws, calendar, agenda",,,"$ npx skills add https://github.com/googleworkspace/cli --skill gws-calendar-agenda",,true,"https://vercel.com, https://github.com/googleworkspace/cli/blob/HEAD/skills/gws-calendar-agenda/../gws-shared/SKILL.md, https://github.com/googleworkspace/cli/blob/HEAD/skills/gws-calendar-agenda/../gws-calendar/SKILL.md, https://github.com/googleworkspace/cli"
https://skills.sh/jimliu/baoyu-skills/baoyu-url-to-markdown,jimliu,baoyu-skills,baoyu-url-to-markdown,"baoyu-url-to-markdown","Discover and install skills for AI agents.",Mobile,"baoyu, url, to, markdown",,,"$ npx skills add https://github.com/jimliu/baoyu-skills --skill baoyu-url-to-markdown",,true,"https://vercel.com, https://github.com/jimliu/baoyu-skills/blob/HEAD/skills/baoyu-url-to-markdown/references/config/first-time-setup.md, https://github.com/jimliu/baoyu-skills/blob/HEAD/skills/baoyu-url-to-markdown/references/quality-gate.md, https://github.com/jimliu/baoyu-skills/blob/HEAD/skills/baoyu-url-to-markdown/references/adapters.md, https://github.com/jimliu/baoyu-skills"
https://skills.sh/vercel-labs/agent-browser/electron,vercel-labs,agent-browser,electron,"electron","Discover and install skills for AI agents.",Mobile,"electron",,,"$ npx skills add https://github.com/vercel-labs/agent-browser --skill electron",,true,"https://vercel.com, https://github.com/vercel-labs/agent-browser"
https://skills.sh/wshobson/agents/python-testing-patterns,wshobson,agents,python-testing-patterns,"python-testing-patterns","Discover and install skills for AI agents.",Database/Backend,"python, testing, patterns",,,"$ npx skills add https://github.com/wshobson/agents --skill python-testing-patterns",,true,"https://vercel.com, https://github.com/wshobson/agents/blob/HEAD/plugins/python-development/skills/python-testing-patterns/references/advanced-patterns.md, https://github.com/wshobson/agents/blob/HEAD/plugins/python-development/skills/python-testing-patterns/references/advanced-patterns.md, https://github.com/wshobson/agents"
